INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch CLANG as the compiler.
   Compiling ../../../../../../../../HLS-Verilog/Scheduler_FSM/src-hls/Head_Helpers/head_helpers.cpp in debug mode
   Generating csim.exe
cycle |h0_phase    |hstrt|rdy |done|start |op  |wl_r|wl_s|wl_sel|dma   |h1_phase    |hstrt|rdy |done|start |op  |wl_r|wl_s|wl_sel|dma   
0     |Q           |1   |-   |-   |-     |-   |1   |-   |-     |-     |Q           |1   |-   |-   |-     |-   |1   |-   |-     |-     
1     |Q           |-   |1   |-   |-     |-   |1   |1   |WQ    |-     |Q           |-   |1   |-   |-     |-   |1   |1   |WQ    |-     
2     |Q           |-   |1   |-   |-     |-   |-   |-   |-     |-     |Q           |-   |1   |-   |-     |-   |-   |-   |-     |-     
3     |Q           |-   |1   |-   |1     |Q   |-   |-   |-     |1     |Q           |-   |1   |-   |1     |Q   |-   |-   |-     |1     
4     |Q           |-   |-   |-   |-     |-   |1   |-   |-     |-     |Q           |-   |-   |-   |-     |-   |1   |-   |-     |-     
5     |Q           |-   |-   |-   |-     |-   |1   |-   |-     |-     |Q           |-   |-   |-   |-     |-   |1   |-   |-     |-     
6     |K           |-   |-   |1   |-     |-   |1   |-   |-     |-     |K           |-   |-   |1   |-     |-   |1   |-   |-     |-     
7     |K           |-   |1   |-   |-     |-   |1   |1   |WK    |-     |K           |-   |1   |-   |-     |-   |1   |1   |WK    |-     
8     |K           |-   |1   |-   |-     |-   |-   |-   |-     |-     |K           |-   |1   |-   |-     |-   |-   |-   |-     |-     
9     |K           |-   |1   |-   |1     |K   |-   |-   |-     |1     |K           |-   |1   |-   |1     |K   |-   |-   |-     |1     
10    |K           |-   |-   |-   |-     |-   |1   |-   |-     |-     |K           |-   |-   |-   |-     |-   |1   |-   |-     |-     
11    |K           |-   |-   |-   |-     |-   |1   |-   |-     |-     |K           |-   |-   |-   |-     |-   |1   |-   |-     |-     
12    |K_RQ        |-   |-   |1   |-     |-   |1   |-   |-     |-     |K_RQ        |-   |-   |1   |-     |-   |1   |-   |-     |-     
13    |K_WB        |-   |1   |-   |-     |-   |1   |-   |-     |-     |K_WB        |-   |1   |-   |-     |-   |1   |-   |-     |-     
14    |V           |-   |1   |-   |-     |-   |1   |-   |-     |-     |V           |-   |1   |-   |-     |-   |1   |-   |-     |-     
15    |V           |-   |1   |-   |-     |-   |1   |1   |WV    |-     |V           |-   |1   |-   |-     |-   |1   |1   |WV    |-     
16    |V           |-   |1   |-   |-     |-   |-   |-   |-     |-     |V           |-   |1   |-   |-     |-   |-   |-   |-     |-     
17    |V           |-   |1   |-   |1     |V   |-   |-   |-     |1     |V           |-   |1   |-   |1     |V   |-   |-   |-     |1     
18    |V           |-   |-   |-   |-     |-   |1   |-   |-     |-     |V           |-   |-   |-   |-     |-   |1   |-   |-     |-     
19    |V           |-   |-   |-   |-     |-   |1   |-   |-     |-     |V           |-   |-   |-   |-     |-   |1   |-   |-     |-     
20    |V_RQ        |-   |-   |1   |-     |-   |1   |-   |-     |-     |V_RQ        |-   |-   |1   |-     |-   |1   |-   |-     |-     
21    |V_WB        |-   |1   |-   |-     |-   |1   |-   |-     |-     |V_WB        |-   |1   |-   |-     |-   |1   |-   |-     |-     
22    |RQ_Q        |-   |1   |-   |-     |-   |1   |-   |-     |-     |RQ_Q        |-   |1   |-   |-     |-   |1   |-   |-     |-     
23    |ATT_SCO     |-   |1   |-   |-     |-   |1   |-   |-     |-     |ATT_SCO     |-   |1   |-   |-     |-   |1   |-   |-     |-     
24    |ATT_SCO     |-   |1   |-   |-     |-   |1   |1   |CK    |-     |ATT_SCO     |-   |1   |-   |-     |-   |1   |1   |CK    |-     
25    |ATT_SCO     |-   |1   |-   |-     |-   |-   |-   |-     |-     |ATT_SCO     |-   |1   |-   |-     |-   |-   |-   |-     |-     
