INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch CLANG as the compiler.
   Compiling ../../../../../../../HLS-Verilog/Weight_Loader-Stager/Weight_stager.cpp in debug mode
   Compiling ../../../../../../../HLS-Verilog/Scheduler_FSM/src-hls/Head_Helpers/head_helpers.cpp in debug mode
   Compiling ../../../../../../../HLS-Verilog/Scheduler_FSM/src-hls/Scheduler_FSM.cpp in debug mode
   Generating csim.exe
Cycle    Start  Reset  | CtrlAddr   | CtrlDin    CtrlDout   Rd       Wr       CE       RstN     | DbgState         MemReq   DMA_Addr   DbgDone  Seen   IRQ        IRQFlag    IRQData    | MemCtrl    MemIRQ     MemIRQEn   | wl{WLrdy WLstrt WLSel Layer Head Tile} err=Err dma_req=DMAReq dma_done=DMADone dma_addr=DMAAddr
0        0      0      | 0          | 0          0          -        1        1        -        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{0 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
1        0      0      | 8          | 0          0          -        -        -        -        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{0 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
2        0      1      | 0          | 1          0          -        1        1        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
3        0      1      | 8          | 0          0          -        -        -        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
4        0      1      | 32         | 4096       0          -        1        1        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
5        0      1      | 8          | 0          0          -        -        -        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
6        0      1      | 36         | 256        0          -        1        1        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
7        0      1      | 8          | 0          0          -        -        -        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
8        0      1      | 40         | 256        0          -        1        1        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
9        0      1      | 8          | 0          0          -        -        -        1        | S_IDLE           -        0x00000000 -        -      -          -          0x00000000 | 1          0          7          | wl{1 0 0 0 0 0} err=0 dma_req=0 dma_done=0 dma_addr=0x00000000 0:IDLE   -  0x00000000 -  1:IDLE   -  0x00000000 -  2:IDLE   -  0x00000000 -  3:IDLE   -  0x00000000 - 
