Time resolution is 1 ps
   Cycle  Start  Reset     Busy |        State | AXIS_v AXIS_r AXIS_last | WL_rdy WL_strt_o  WL_addr WL_head WL_tile |  CmpStrt   CmpRdy  CmpDone      CmpOp
       0      -      -        - |       S_IDLE |      -      -        - |      1      -      UNK x x |        -        1        -        UNK
1             -      -        - |       S_IDLE |      -      -        - |      1      -      UNK x x |        -        1        -        UNK
2             -      -        - |       S_IDLE |      -      -        - |      1      -      UNK x x |        -        1        -        UNK
3             -      -        - |       S_IDLE |      -      -        - |      1      -      UNK x x |        -        1        -        UNK
4             -      -        - |       S_IDLE |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
5             1      1        - |       S_IDLE |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
6             1      1        - |       S_IDLE |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
7             1      1        - |       S_IDLE |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
8             1      1        - |  S_STREAM_IN |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
9             -      1        - |  S_STREAM_IN |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
10            -      1        - |  S_STREAM_IN |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
11            -      1        - |  S_STREAM_IN |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
12            -      1        - |  S_STREAM_IN |      -      1        - |      1      -     NONE      0      0 |        -        1        -       NONE
13            -      1        - |  S_STREAM_IN |      1      1        - |      1      -     NONE      0      0 |        -        1        -       NONE
14            -      1        - |  S_STREAM_IN |      -      1        - |      1      -     NONE      0      0 |        -        1        -       NONE
15            -      1        - |  S_STREAM_IN |      1      1        - |      1      -     NONE      0      0 |        -        1        -       NONE
16            -      1        - |  S_STREAM_IN |      -      1        - |      1      -     NONE      0      0 |        -        1        -       NONE
17            -      1        - |  S_STREAM_IN |      1      1        1 |      1      -     NONE      0      0 |        -        1        -       NONE
18            -      1        - |  S_STREAM_IN |      1      1        1 |      1      -     NONE      0      0 |        -        1        -       NONE
19            -      1        - |  S_STREAM_IN |      1      1        1 |      1      -     NONE      0      0 |        -        1        -       NONE
20            -      1        - | S_LAYER_COUNT |      -      1        - |      1      -     NONE      0      0 |        -        1        -       NONE
21            -      1        - | S_LAYER_COUNT |      -      1        - |      1      -     NONE      0      0 |        -        1        -       NONE
22            -      1        - | S_LAYER_COUNT |      -      1        - |      1      -     NONE      0      0 |        -        1        -       NONE
23            -      1        - | S_LAYER_COUNT |      -      1        - |      1      -     NONE      0      0 |        -        1        -       NONE
24            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
25            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
26            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
27            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
28            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
29            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
30            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
31            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
32            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
33            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
34            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
35            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
36            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
37            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
38            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
39            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
40            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
41            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
42            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
43            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
44            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
45            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
46            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
47            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
48            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
49            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
50            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
51            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
52            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
53            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
54            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
55            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
56            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
57            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
58            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
59            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
60            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
61            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
62            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
63            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
64            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
65            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
66            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
67            -      1        - |  S_ATT_HEADS |      -      -        - |      1      -     NONE      0      0 |        -        1        -       NONE
