Time resolution is 1 ps
Cycle | start addr_sel layer head tile | ready mem_req err ap_return (expected)
    0 |   1     1      1    2    0 |   0      1    1  0x10001200 (0x10001200)
    1 |   0     0      0    0    0 |   1      0    1  0x10001200 (0xxxxxxxxx)
    2 |   1     2      1    3    0 |   0      1    1  0x20001600 (0x20001600)
    3 |   0     0      0    0    0 |   1      0    1  0x20001600 (0xxxxxxxxx)
    4 |   1     3      2    1    0 |   0      1    1  0x30002300 (0x30002300)
    5 |   0     0      0    0    0 |   1      0    1  0x30002300 (0xxxxxxxxx)
    6 |   1     4      0    4    0 |   0      1    1  0x40001000 (0x40001000)
    7 |   0     0      0    0    0 |   1      0    1  0x40001000 (0xxxxxxxxx)
    8 |   1     5      2    5    0 |   0      1    1  0x50003900 (0x50003900)
    9 |   0     0      0    0    0 |   1      0    1  0x50003900 (0xxxxxxxxx)
   10 |   1     8      1    0    2 |   0      1    1  0x60001c00 (0x60001c00)
   11 |   0     0      0    0    0 |   1      0    1  0x60001c00 (0xxxxxxxxx)
   12 |   1     9      3    0    1 |   0      1    1  0x70003700 (0x70003700)
   13 |   0     0      0    0    0 |   1      0    1  0x70003700 (0xxxxxxxxx)
   14 |   1     10      1    0    3 |   0      1    1  0x80002800 (0x80002800)
   15 |   0     0      0    0    0 |   1      0    1  0x80002800 (0xxxxxxxxx)
   16 |   0     0      0    0    0 |   1      0    1  0x80002800 (0xxxxxxxxx)
   17 |   0     0      0    0    0 |   1      0    1  0x80002800 (0xxxxxxxxx)
   18 |   0     0      0    0    0 |   1      0    1  0x80002800 (0xxxxxxxxx)
   19 |   0     0      0    0    0 |   1      0    1  0x80002800 (0xxxxxxxxx)
   20 |   0     0      0    0    0 |   1      0    1  0x80002800 (0xxxxxxxxx)
   21 |   0     0      0    0    0 |   1      0    1  0x80002800 (0xxxxxxxxx)
   22 |   0     0      0    0    0 |   1      0    1  0x80002800 (0xxxxxxxxx)
   23 |   0     0      0    0    0 |   1      0    1  0x80002800 (0xxxxxxxxx)
$finish called at time : 275 ns : File "/home/luka/Scripting/ELEC_498-Capstone-LiteLM/HLS-Verilog/Weight_Loader-Stager/Verilog/weight_stager_tb.sv" Line 116
